x,y,z
0.14,0.059405999999999994,14.625937526695452
0.15,0.059405999999999994,15.744183300103032
0.16,0.059405999999999994,15.446170073510643
0.17,0.059405999999999994,15.179405846918144
0.18,0.059405999999999994,9.8892046203257
0.19,0.059405999999999994,15.224247393733094
0.2,0.059405999999999994,9.485560167140761
0.21,0.059405999999999994,12.873093940548301
0.22,0.059405999999999994,9.474249713955828
0.23,0.059405999999999994,7.412320487363331
0.24,0.059405999999999994,13.510303260770797
0.25,0.059405999999999994,6.641244034178499
0.26,0.059405999999999994,6.977507807585994
0.27,0.059405999999999994,7.8760275809935365
0.28,0.059405999999999994,11.547984354401024
0.29,0.059405999999999994,8.966768127808677
0.3,0.059405999999999994,14.017386901216014
0.31,0.059405999999999994,15.172254674623673
0.32,0.059405999999999994,15.23605744803126
0.33,0.059405999999999994,18.824518221438666
0.34,0.059405999999999994,22.40809599484635
0.35,0.059405999999999994,20.16452576825384
0.36,0.059405999999999994,23.673397541661416
0.37,0.059405999999999994,25.434221315068953
0.38,0.059405999999999994,19.622780088476475
0.39,0.059405999999999994,24.393125861884073
0.4,0.059405999999999994,26.70302263529163
0.41,0.059405999999999994,23.25730340869916
0.42,0.059405999999999994,18.562317182106653
0.43,0.059405999999999994,8.38271195551431
0.44,0.059405999999999994,15.41038172892172
0.45,0.059405999999999994,2.806460502329287
0.46,0.059405999999999994,3.29628827573697
0.47,0.059405999999999994,6.088119049144325
0.48,0.059405999999999994,5.418278822551997
0.49,0.059405999999999994,-8.504002404040534
0.5,0.059405999999999994,-5.862318630632899
0.51,0.059405999999999994,-3.237724857225544
0.52,0.059405999999999994,-15.823580083817887
0.53,0.059405999999999994,-16.40968031041041
0.54,0.059405999999999994,-12.52995953700281
0.55,0.059405999999999994,-11.92245476359517
0.56,0.059405999999999994,-10.536142990187727
0.57,0.059405999999999994,-14.049732216780058
0.58,0.059405999999999994,-11.889005443372639
0.59,0.059405999999999994,-11.851081669965083
0.6,0.059405999999999994,-11.26701589655761
0.61,0.059405999999999994,-17.64999012315002
0.62,0.059405999999999994,-12.025396349742437
0.63,0.059405999999999994,-14.386398576334841
0.64,0.059405999999999994,-12.292321802927404
0.65,0.059405999999999994,-16.80615602951991
0.66,0.059405999999999994,-18.511640256112287
0.67,0.059405999999999994,-17.708335482704683
0.68,0.059405999999999994,-19.7146007092972
0.69,0.059405999999999994,-15.188639935889682
0.7,0.059405999999999994,-13.961263162482169
0.71,0.059405999999999994,-10.0952143890745
0.72,0.059405999999999994,-12.959878615667094
0.73,0.059405999999999994,-8.45808684225949
0.74,0.059405999999999994,-20.15136406885199
0.75,0.059405999999999994,-9.979407295444389
0.76,0.059405999999999994,-8.00837752203688
0.77,0.059405999999999994,-8.161371748629222
0.78,0.059405999999999994,-6.175693975221748
0.79,0.059405999999999994,-11.896803201814237
0.8,0.059405999999999994,-15.769768428406678
0.81,0.059405999999999994,-5.290926654999225
